date,district_id,daily_deaths
2020-03-02,293,1
2020-03-02,299,1
2020-03-09,277,3
2020-03-09,278,1
2020-03-09,279,5
2020-03-09,280,2
2020-03-09,281,2
2020-03-09,282,2
2020-03-09,283,1
2020-03-09,284,3
2020-03-09,285,2
2020-03-09,286,2
2020-03-09,287,1
2020-03-09,288,1
2020-03-09,290,5
2020-03-09,293,1
2020-03-09,295,1
2020-03-09,297,1
2020-03-09,299,3
2020-03-09,300,3
2020-03-09,301,1
2020-03-09,303,3
2020-03-09,304,1
2020-03-09,305,1
2020-03-09,306,1
2020-03-09,307,3
2020-03-09,308,1
2020-03-16,277,4
2020-03-16,278,13
2020-03-16,279,6
2020-03-16,280,24
2020-03-16,281,9
2020-03-16,282,4
2020-03-16,283,17
2020-03-16,284,11
2020-03-16,285,8
2020-03-16,286,8
2020-03-16,287,5
2020-03-16,288,4
2020-03-16,289,7
2020-03-16,290,14
2020-03-16,291,6
2020-03-16,292,8
2020-03-16,293,11
2020-03-16,294,6
2020-03-16,295,3
2020-03-16,296,3
2020-03-16,297,18
2020-03-16,298,7
2020-03-16,299,7
2020-03-16,300,12
2020-03-16,301,5
2020-03-16,302,6
2020-03-16,303,12
2020-03-16,304,3
2020-03-16,305,2
2020-03-16,306,7
2020-03-16,307,16
2020-03-16,308,10
2020-03-23,277,15
2020-03-23,278,63
2020-03-23,279,13
2020-03-23,280,50
2020-03-23,281,29
2020-03-23,282,14
2020-03-23,283,55
2020-03-23,284,35
2020-03-23,285,24
2020-03-23,286,25
2020-03-23,287,29
2020-03-23,288,16
2020-03-23,289,27
2020-03-23,290,53
2020-03-23,291,18
2020-03-23,292,38
2020-03-23,293,27
2020-03-23,294,14
2020-03-23,295,15
2020-03-23,296,9
2020-03-23,297,38
2020-03-23,298,25
2020-03-23,299,16
2020-03-23,300,32
2020-03-23,301,37
2020-03-23,302,8
2020-03-23,303,25
2020-03-23,304,16
2020-03-23,305,20
2020-03-23,306,24
2020-03-23,307,33
2020-03-23,308,24
2020-03-30,277,23
2020-03-30,278,68
2020-03-30,279,36
2020-03-30,280,101
2020-03-30,281,44
2020-03-30,282,41
2020-03-30,283,71
2020-03-30,284,53
2020-03-30,285,54
2020-03-30,286,40
2020-03-30,287,34
2020-03-30,288,28
2020-03-30,289,63
2020-03-30,290,62
2020-03-30,291,45
2020-03-30,292,46
2020-03-30,293,38
2020-03-30,294,33
2020-03-30,295,19
2020-03-30,296,14
2020-03-30,297,49
2020-03-30,298,63
2020-03-30,299,40
2020-03-30,300,46
2020-03-30,301,46
2020-03-30,302,24
2020-03-30,303,35
2020-03-30,304,23
2020-03-30,305,28
2020-03-30,306,47
2020-03-30,307,32
2020-03-30,308,28
2020-04-06,277,23
2020-04-06,278,79
2020-04-06,279,30
2020-04-06,280,83
2020-04-06,281,35
2020-04-06,282,35
2020-04-06,283,74
2020-04-06,284,57
2020-04-06,285,53
2020-04-06,286,37
2020-04-06,287,43
2020-04-06,288,17
2020-04-06,289,31
2020-04-06,290,62
2020-04-06,291,45
2020-04-06,292,50
2020-04-06,293,40
2020-04-06,294,23
2020-04-06,295,22
2020-04-06,296,20
2020-04-06,297,56
2020-04-06,298,49
2020-04-06,299,37
2020-04-06,300,51
2020-04-06,301,54
2020-04-06,302,26
2020-04-06,303,39
2020-04-06,304,27
2020-04-06,305,38
2020-04-06,306,31
2020-04-06,307,34
2020-04-06,308,30
2020-04-13,277,13
2020-04-13,278,48
2020-04-13,279,25
2020-04-13,280,42
2020-04-13,281,37
2020-04-13,282,20
2020-04-13,283,49
2020-04-13,284,43
2020-04-13,285,39
2020-04-13,286,27
2020-04-13,287,30
2020-04-13,288,15
2020-04-13,289,26
2020-04-13,290,32
2020-04-13,291,35
2020-04-13,292,34
2020-04-13,293,23
2020-04-13,294,7
2020-04-13,295,13
2020-04-13,296,17
2020-04-13,297,27
2020-04-13,298,36
2020-04-13,299,22
2020-04-13,300,31
2020-04-13,301,36
2020-04-13,302,21
2020-04-13,303,17
2020-04-13,304,21
2020-04-13,305,13
2020-04-13,306,30
2020-04-13,307,25
2020-04-13,308,15
2020-04-20,277,14
2020-04-20,278,25
2020-04-20,279,13
2020-04-20,280,31
2020-04-20,281,25
2020-04-20,282,7
2020-04-20,283,27
2020-04-20,284,23
2020-04-20,285,29
2020-04-20,286,15
2020-04-20,287,4
2020-04-20,288,13
2020-04-20,289,11
2020-04-20,290,32
2020-04-20,291,18
2020-04-20,292,18
2020-04-20,293,18
2020-04-20,294,6
2020-04-20,295,10
2020-04-20,296,19
2020-04-20,297,33
2020-04-20,298,17
2020-04-20,299,15
2020-04-20,300,19
2020-04-20,301,20
2020-04-20,302,8
2020-04-20,303,18
2020-04-20,304,17
2020-04-20,305,6
2020-04-20,306,17
2020-04-20,307,8
2020-04-20,308,9
2020-04-27,277,4
2020-04-27,278,11
2020-04-27,279,12
2020-04-27,280,23
2020-04-27,281,29
2020-04-27,282,2
2020-04-27,283,24
2020-04-27,284,13
2020-04-27,285,13
2020-04-27,286,9
2020-04-27,287,7
2020-04-27,288,8
2020-04-27,289,5
2020-04-27,290,15
2020-04-27,291,14
2020-04-27,292,9
2020-04-27,293,13
2020-04-27,294,7
2020-04-27,295,7
2020-04-27,296,11
2020-04-27,297,5
2020-04-27,298,15
