date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,district_id
2022-07-30,Kingston upon Thames,E09000021,-27.0,-10.0,75.0,-24,-5.0,-1.0,296
2022-07-30,Barking and Dagenham,E09000002,-25.0,-3.0,62.0,-19,-19.0,-2.0,277
2022-07-30,Lewisham,E09000023,-7.0,-6.0,8.0,-29,-21.0,-1.0,298
2022-07-30,Hillingdon,E09000017,-15.0,-11.0,88.0,0,-13.0,-2.0,292
2022-07-30,Havering,E09000016,-22.0,-1.0,15.0,-19,-9.0,-1.0,291
2022-07-30,Westminster,E09000033,-33.0,-9.0,-14.0,-17,-18.0,-1.0,308
2022-07-30,Greenwich,E09000011,-18.0,1.0,-7.0,3,-15.0,-1.0,286
2022-07-30,Tower Hamlets,E09000030,-16.0,-6.0,6.0,-23,-10.0,-2.0,305
2022-07-30,Bexley,E09000004,-24.0,-3.0,51.0,-40,-15.0,-1.0,279
2022-07-30,Bromley,E09000006,-22.0,2.0,10.0,-35,-9.0,0.0,281
2022-07-30,Ealing,E09000009,-17.0,-6.0,116.0,-6,-14.0,-2.0,284
2022-07-30,Merton,E09000024,-29.0,-14.0,-7.0,-22,-15.0,-2.0,299
2022-07-30,Croydon,E09000008,-20.0,1.0,26.0,-25,-13.0,-2.0,283
2022-07-30,Redbridge,E09000026,-25.0,-13.0,-2.0,-22,-16.0,-2.0,301
2022-07-30,Enfield,E09000010,-26.0,-15.0,16.0,-34,-18.0,-1.0,285
2022-07-30,Harrow,E09000015,-20.0,6.0,85.0,-1,1.0,-2.0,290
2022-07-30,Hounslow,E09000018,-11.0,6.0,33.0,0,-7.0,-2.0,293
2022-07-30,Southwark,E09000028,-28.0,-12.0,7.0,-23,-3.0,-2.0,303
2022-07-30,Newham,E09000025,-29.0,-7.0,166.0,-17,-3.0,-3.0,300
2022-07-30,Hackney,E09000012,-29.0,-7.0,5.0,-30,-21.0,-2.0,287
2022-07-30,Haringey,E09000014,-12.0,-15.0,0.0,-9,-25.0,-2.0,289
2022-07-30,Sutton,E09000029,-28.0,-5.0,16.0,-36,-17.0,-1.0,304
2022-07-30,Hammersmith and Fulham,E09000013,-39.0,-15.0,8.0,-36,-23.0,-1.0,288
