date,district_id,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-10,276,-3.0,-10.666666666666666,-10.333333333333334,-8.333333333333334,-4.0,
2020-02-10,277,-3.0,-6.333333333333333,-14.333333333333334,-10.666666666666666,-8.666666666666666,2.0
2020-02-10,278,-3.6666666666666665,-2.3333333333333335,-29.666666666666668,-9.0,-7.333333333333333,1.6666666666666667
2020-02-10,279,-7.333333333333333,-6.0,-21.333333333333332,-13.666666666666666,-9.333333333333334,2.3333333333333335
2020-02-10,280,-2.0,-2.6666666666666665,-16.666666666666668,-9.666666666666666,-6.0,1.6666666666666667
2020-02-10,281,-6.0,-4.666666666666667,-29.333333333333332,-10.0,-8.333333333333334,2.6666666666666665
2020-02-10,282,-3.0,-7.0,-15.666666666666666,-1.6666666666666667,-4.333333333333333,2.0
2020-02-10,283,-5.333333333333333,-5.333333333333333,-21.666666666666668,-11.0,-8.0,2.3333333333333335
2020-02-10,284,-5.333333333333333,-2.6666666666666665,-24.333333333333332,-0.3333333333333333,-6.333333333333333,1.6666666666666667
2020-02-10,285,-2.3333333333333335,-3.0,-23.666666666666668,-11.0,-7.0,2.0
2020-02-10,286,1.0,-6.333333333333333,-20.0,-4.666666666666667,-6.0,2.6666666666666665
2020-02-10,287,-4.333333333333333,-6.0,-22.333333333333332,-5.666666666666667,-3.0,2.3333333333333335
2020-02-10,288,10.0,0.0,-14.666666666666666,-2.0,-4.333333333333333,2.0
2020-02-10,289,-4.333333333333333,-2.6666666666666665,-28.333333333333332,-8.0,-5.666666666666667,1.6666666666666667
2020-02-10,290,-4.666666666666667,-6.333333333333333,-24.333333333333332,-8.666666666666666,-7.666666666666667,1.6666666666666667
2020-02-10,291,-3.0,-2.6666666666666665,-24.333333333333332,-15.0,-8.333333333333334,2.0
2020-02-10,292,-4.666666666666667,-1.0,-24.333333333333332,-1.6666666666666667,-7.0,1.6666666666666667
2020-02-10,293,-6.666666666666667,-4.666666666666667,-10.666666666666666,-10.0,-6.333333333333333,2.0
2020-02-10,294,7.0,-3.6666666666666665,-25.0,14.666666666666666,-3.3333333333333335,2.0
2020-02-10,295,6.333333333333333,-0.3333333333333333,-15.0,5.333333333333333,-7.666666666666667,2.0
2020-02-10,296,-7.666666666666667,-7.666666666666667,-55.0,-12.333333333333334,-7.0,2.6666666666666665
2020-02-10,297,3.6666666666666665,-4.333333333333333,-8.333333333333334,-1.0,-4.0,2.0
2020-02-10,298,-8.0,-4.666666666666667,-16.666666666666668,-11.0,-7.333333333333333,2.3333333333333335
2020-02-10,299,-9.333333333333334,-6.0,-23.666666666666668,-15.666666666666666,-6.333333333333333,2.3333333333333335
2020-02-10,300,-4.666666666666667,-1.0,-21.0,-3.6666666666666665,-5.666666666666667,1.6666666666666667
2020-02-10,301,-3.6666666666666665,-3.3333333333333335,-25.666666666666668,-3.3333333333333335,-7.666666666666667,1.6666666666666667
2020-02-10,302,-7.0,-8.666666666666666,-28.0,-14.666666666666666,-8.333333333333334,2.0
2020-02-10,303,-3.0,-6.666666666666667,-8.0,-5.333333333333333,-4.666666666666667,2.0
2020-02-10,304,-8.666666666666666,-7.0,-22.0,-17.333333333333332,-7.666666666666667,2.3333333333333335
2020-02-10,305,-6.333333333333333,-7.0,-5.0,-11.0,-5.666666666666667,1.3333333333333333
2020-02-10,306,-4.666666666666667,-4.666666666666667,-26.333333333333332,-7.333333333333333,-6.333333333333333,1.6666666666666667
2020-02-10,307,-7.666666666666667,-6.0,-24.333333333333332,-5.666666666666667,-6.0,2.0
2020-02-10,308,-2.3333333333333335,-6.333333333333333,-9.333333333333334,-2.0,-4.333333333333333,2.3333333333333335
2020-02-17,276,-2.0,-3.0,-1.1428571428571428,-3.5714285714285716,-2.2,
2020-02-17,277,-0.2857142857142857,-2.142857142857143,-0.2857142857142857,-3.5714285714285716,-9.571428571428571,2.142857142857143
2020-02-17,278,-0.7142857142857143,-1.7142857142857142,-10.857142857142858,-7.285714285714286,-9.142857142857142,1.8571428571428572
2020-02-17,279,0.14285714285714285,-3.142857142857143,-1.4285714285714286,-11.571428571428571,-11.0,2.2857142857142856
2020-02-17,280,2.0,1.1428571428571428,-5.0,-6.0,-7.285714285714286,2.0
2020-02-17,281,0.42857142857142855,-1.8571428571428572,-5.714285714285714,-3.5714285714285716,-8.857142857142858,1.7142857142857142
2020-02-17,282,-0.14285714285714285,-1.1428571428571428,2.142857142857143,3.7142857142857144,-7.857142857142857,1.4285714285714286
2020-02-17,283,3.142857142857143,-1.4285714285714286,-1.2857142857142858,-3.142857142857143,-9.428571428571429,2.142857142857143
2020-02-17,284,0.14285714285714285,-0.14285714285714285,-10.285714285714286,-3.857142857142857,-7.857142857142857,1.8571428571428572
2020-02-17,285,0.0,-0.8571428571428571,-4.857142857142857,-8.857142857142858,-8.714285714285714,2.0
2020-02-17,286,9.142857142857142,-1.7142857142857142,16.714285714285715,0.8571428571428571,-7.428571428571429,2.0
2020-02-17,287,0.0,-2.2857142857142856,-5.428571428571429,-3.5714285714285716,-4.428571428571429,1.1428571428571428
2020-02-17,288,2.2857142857142856,-0.2857142857142857,-10.285714285714286,-1.0,-6.571428571428571,1.7142857142857142
2020-02-17,289,5.571428571428571,0.14285714285714285,-9.428571428571429,-3.4285714285714284,-7.0,1.7142857142857142
2020-02-17,290,0.2857142857142857,-3.0,-14.0,-6.857142857142857,-9.428571428571429,1.8571428571428572
2020-02-17,291,4.714285714285714,-0.14285714285714285,-5.571428571428571,-8.857142857142858,-9.714285714285714,1.8571428571428572
2020-02-17,292,-2.4285714285714284,1.0,-7.428571428571429,-2.0,-9.0,2.0
2020-02-17,293,1.5714285714285714,-2.5714285714285716,17.0,-2.7142857142857144,-7.571428571428571,1.8571428571428572
2020-02-17,294,0.14285714285714285,-4.285714285714286,-13.428571428571429,6.714285714285714,-4.142857142857143,1.0
2020-02-17,295,9.857142857142858,-0.5714285714285714,-3.4285714285714284,9.857142857142858,-6.571428571428571,1.2857142857142858
2020-02-17,296,1.7142857142857142,-2.4285714285714284,-9.428571428571429,-7.0,-9.0,1.8571428571428572
2020-02-17,297,4.285714285714286,-3.4285714285714284,-0.14285714285714285,3.142857142857143,-6.0,1.7142857142857142
2020-02-17,298,-0.14285714285714285,-1.4285714285714286,-0.14285714285714285,-4.428571428571429,-7.714285714285714,1.8571428571428572
2020-02-17,299,-4.714285714285714,-3.4285714285714284,-7.857142857142857,-10.0,-9.571428571428571,2.0
